연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,is_outlier_3-5세,is_outlier_6-8세,is_outlier_9-11세,cluster_3-5세,dist_3-5세,margin_3-5세,cluster_6-8세,dist_6-8세,margin_6-8세,cluster_9-11세,dist_9-11세,margin_9-11세
3-5세,123,423,3.0,1.5,0.4919690660321237,0.4272253240112,6,6,0.0,,,2.0,1.4276095400380289,1.9315581550321093,,,,,,
3-5세,90,180,1.5,0.5,0.5555555555555556,0.5555555555555556,2,4,0.0,,,2.0,0.7012013101658816,1.212623410122567,,,,,,
3-5세,120,180,1.25,0.5,1.0,1.0,3,3,0.0,,,1.0,0.8790503513907584,1.4138859606816883,,,,,,
3-5세,570,840,5.0,2.0,0.3074792243767312,0.336734693877551,5,5,1.0,,,0.0,1.9605033095146467,3.777613220153772,,,,,,
3-5세,125,240,1.5,1.0,0.9232,0.5,1,6,0.0,,,2.0,1.3067231069856378,0.17368156254923317,,,,,,
3-5세,780,720,2.75,1.75,0.2899408284023669,0.2777777777777778,6,6,1.0,,,0.0,1.561536582050217,4.412586850713813,,,,,,
3-5세,10,0,0.75,0.0,1.0,0.0,6,6,0.0,,,1.0,2.112982362769765,1.7833993579130065,,,,,,
3-5세,180,240,1.25,1.0,0.5555555555555556,0.5,7,7,0.0,,,2.0,1.1302290550529148,0.4915676497487478,,,,,,
3-5세,90,160,0.5,0.75,1.0,0.625,4,4,0.0,,,1.0,0.9123547833621568,1.445181541179194,,,,,,
3-5세,63,57,1.75,0.75,0.9380196523053664,0.9316712834718376,7,9,0.0,,,1.0,0.9310145832032254,1.5033021477232231,,,,,,
3-5세,60,120,1.25,1.0,1.0,0.5,4,6,0.0,,,1.0,1.152749275042099,0.9382290246055378,,,,,,
3-5세,150,180,1.5,0.75,0.6800000000000002,0.5555555555555556,4,4,0.0,,,2.0,0.9767681825726838,0.4680975727171094,,,,,,
3-5세,0,240,0.0,1.0,0.0,0.5,5,5,0.0,,,2.0,2.1124160706151898,0.6358590090927079,,,,,,
3-5세,180,180,1.25,0.5,1.0,1.0,7,7,0.0,,,1.0,1.1722441380905524,1.0423480146729909,,,,,,
3-5세,0,180,0.0,0.25,0.0,1.0,6,9,0.0,,,1.0,1.8356293802170125,1.6342319286891338,,,,,,
3-5세,300,360,2.0,0.75,0.6800000000000002,0.7222222222222223,3,4,0.0,,,2.0,1.5148680657903917,1.144449425707462,,,,,,
